avg,elo,ff,loss
880507,1253,221,278
880652,1454,129,245
880870,1153,3,4
880875,1396,39,147
881150,1374,17,78
881458,1413,7,111
883953,1448,0,5
885529,1425,0,2
886364,1399,0,0
887861,1334,8,9
888006,1023,14,18
888325,1137,1,4
888510,1324,6,12
889389,1198,2,3
889720,1378,5,13
889812,1351,70,139
890818,1346,220,342
890922,1112,3,4
891677,1498,16,41
892113,1579,15,107
892312,1052,34,66
892534,1305,78,132
893631,1267,169,267
893659,1423,74,92
893897,1311,3,8
894482,1248,24,46
895202,783,4,4
896174,1273,103,172
896439,1519,38,94
896823,1388,34,77
897811,1384,9,50
898132,1340,4,12
898724,1348,27,39
900736,1403,50,182
900953,1194,23,33
901672,1304,0,4
902215,1234,27,46
902761,1511,13,219
902968,1048,61,71
903092,1582,11,45
903156,1340,59,93
904126,1436,29,116
904448,1417,27,39
904901,1448,12,50
906610,1435,45,62
906706,1355,2,5
907996,1359,35,57
908202,1382,10,50
908295,1161,4,6
908356,1123,7,12
909911,1449,91,153
909916,1286,11,20
910181,1521,33,118
910192,1403,3,19
910269,1327,18,37
912607,1170,51,89
913322,1245,76,97
914087,1369,62,88
914765,1306,9,13
915168,1421,157,387
915888,1142,2,5
916022,1342,14,27
916778,1356,46,90
917468,1405,35,120
917715,1354,0,0
917861,1572,37,129
918409,1539,73,261
918525,1464,14,71
919419,1287,2,3
919827,1373,70,186
920048,1262,22,38
920357,1583,154,596
920540,1259,26,80
921831,998,9,11
921996,1612,25,54
922357,1247,1,3
923342,1355,14,53
923983,1087,46,65
924341,1379,1,5
925326,1454,20,54
925485,1343,51,67
925932,1376,4,36
926065,1371,9,57
926892,908,2,8
927075,1165,50,64
927906,1214,35,40
928446,1307,12,15
928819,1413,3,7
928864,1241,996,1047
928900,1364,8,10
929297,1537,132,317
929512,1144,984,1076
929567,1449,205,295
930236,1354,15,27
930368,1285,3,3
930536,1212,232,360
931435,1310,25,77
931768,1501,15,35
932072,1444,61,191
932233,1053,123,203
932269,1354,0,2
932486,1447,35,59
933226,1387,32,131
933243,880,5,7
933410,1188,1,4
933834,1130,6,8
933973,1259,86,125
934554,1474,16,62
934568,1269,6,12
936034,1318,9,11
936877,1040,29,43
937377,1268,1,4
937548,1341,225,454
937868,1520,79,313
938147,1397,86,110
938370,1281,146,231
938438,1442,4,95
939390,1202,30,42
939577,1057,9,14
941724,1189,48,73
941913,1265,143,241
941981,933,26,27
942604,1171,131,198
