,lowk3y_,doogile,Infume,bing_pigs,hackingnoises,DARVY__X1,Aquacorde,v_strid
lowk3y_,,7,23,49,4,4,10,62
doogile,6,,7,5,3,0,22,35
Infume,19,19,,7,1,7,36,72
bing_pigs,17,4,14,,6,15,5,73
hackingnoises,3,1,1,13,,5,1,26
DARVY__X1,5,0,7,8,6,,3,65
Aquacorde,5,8,19,3,0,3,,44
v_strid,19,12,39,68,16,57,26,
