date,time,elo,bastion,ow
1680037388,1629425,,,DESERT_TEMPLE
1680037414,1026087,1087,,SHIPWRECK
1680037440,1194545,,,VILLAGE
1680037443,1096361,1190,,RUINED_PORTAL
1680037799,1637023,1034,,SHIPWRECK
1680038552,865042,1063,,VILLAGE
1680038683,855239,,,SHIPWRECK
1680038725,755399,1072,,VILLAGE
1680084863,1127999,,,VILLAGE
1680084974,1352016,1135,,RUINED_PORTAL
1680085098,1420001,1287,,BURIED_TREASURE
1680085233,661556,1546,,RUINED_PORTAL
1680085264,1051162,1281,,DESERT_TEMPLE
1680085408,1143365,,,SHIPWRECK
1680086045,738636,1263,,DESERT_TEMPLE
1680086264,890458,1157,,SHIPWRECK
1680086300,942748,1319,,SHIPWRECK
1680087206,860628,1231,,RUINED_PORTAL
1680087353,1247357,1308,,RUINED_PORTAL
1680087734,1039115,1294,,VILLAGE
1680087876,1246689,1122,,VILLAGE
1680087909,733716,1294,,RUINED_PORTAL
1680088434,1009986,1263,,SHIPWRECK
1680088916,924333,1315,,RUINED_PORTAL
1680089017,796320,1327,,BURIED_TREASURE
1680089111,1156550,1297,,SHIPWRECK
1680089803,719833,1331,,SHIPWRECK
1680089896,929122,1186,,SHIPWRECK
1680090056,1244496,990,,VILLAGE
1680090457,1137320,1303,,DESERT_TEMPLE
1680090590,712547,1346,,SHIPWRECK
1680090944,999325,,,SHIPWRECK
1680091242,864746,948,,SHIPWRECK
1680091293,778590,1318,,BURIED_TREASURE
1680091613,967433,1341,,SHIPWRECK
1680091733,895559,1307,,SHIPWRECK
1680091881,852398,1282,,RUINED_PORTAL
1680092438,1088603,965,,SHIPWRECK
1680092477,696695,1320,,VILLAGE
1680121015,1581330,1073,,VILLAGE
1680121173,961117,1268,,VILLAGE
1680121250,835045,1162,,SHIPWRECK
1680121509,939731,,,DESERT_TEMPLE
1680121759,880404,1214,,BURIED_TREASURE
1680121772,1324234,1191,,VILLAGE
1680121821,1164310,1327,,SHIPWRECK
1680121899,980657,1276,,VILLAGE
1680121903,1116703,1127,,DESERT_TEMPLE
1680122138,984325,968,,VILLAGE
1680122271,750392,1351,,BURIED_TREASURE
1680122464,2069372,1156,,SHIPWRECK
1680122512,1125508,1107,,VILLAGE
1680122563,751665,,,SHIPWRECK
1680122915,901072,1163,,SHIPWRECK
1680122943,998916,1343,,BURIED_TREASURE
1680123244,1022898,,,VILLAGE
1680123295,1615669,872,,RUINED_PORTAL
1680123361,1144046,1142,,VILLAGE
1680123618,1383911,1107,,VILLAGE
1680123637,987472,,,VILLAGE
1680123788,1358855,1138,,SHIPWRECK
1680123902,976582,1203,,RUINED_PORTAL
1680123939,1061446,1082,,VILLAGE
1680124099,785321,1149,,SHIPWRECK
1680124440,2646596,804,,SHIPWRECK
1680124461,881448,1160,,VILLAGE
1680124538,1473807,,,VILLAGE
1680124575,854547,,,SHIPWRECK
1680124724,863923,1273,,SHIPWRECK
1680124993,892969,1142,,VILLAGE
1680125133,949510,1373,,DESERT_TEMPLE
1680125164,1432102,983,,VILLAGE
1680125223,831558,1344,,VILLAGE
1680175407,705444,1363,,SHIPWRECK
1680175455,983290,1220,,VILLAGE
1680175710,851329,1171,,VILLAGE
1680176350,936226,877,,SHIPWRECK
1680176484,766895,1557,,BURIED_TREASURE
1680176693,863058,1092,,BURIED_TREASURE
1680177989,1039562,1268,,VILLAGE
1680178127,860730,1143,,VILLAGE
1680178911,927674,1140,,DESERT_TEMPLE
1680179253,1158814,,,SHIPWRECK
1680179523,1270582,1156,,SHIPWRECK
1680180284,2143391,936,,SHIPWRECK
1680180628,849793,1008,,SHIPWRECK
1680181091,884918,1172,,DESERT_TEMPLE
1680181714,1019984,1049,,RUINED_PORTAL
1680181935,796568,1061,,VILLAGE
1680182459,1014515,1108,,DESERT_TEMPLE
1680182464,825348,1266,,BURIED_TREASURE
1680215357,1312621,926,,RUINED_PORTAL
1680215430,758979,1370,,SHIPWRECK
1680215498,1102002,1196,,RUINED_PORTAL
1680215674,1437264,988,,VILLAGE
1680215696,648873,1099,,SHIPWRECK
1680215736,933430,1158,,VILLAGE
1680215802,753902,1418,,VILLAGE
1680216204,947374,1198,,SHIPWRECK
1680216294,1009056,1299,,SHIPWRECK
1680216419,1423772,966,,RUINED_PORTAL
1680216584,1021879,1086,,VILLAGE
1680216884,945814,1231,,RUINED_PORTAL
1680217027,773911,1314,,DESERT_TEMPLE
1680217063,909653,1166,,VILLAGE
1680217174,920893,1381,,SHIPWRECK
1680217314,1037688,1126,,SHIPWRECK
1680217502,1138402,1084,,VILLAGE
1680217713,607311,1335,,RUINED_PORTAL
1680217912,809695,1199,,SHIPWRECK
1680218371,1249905,1078,,VILLAGE
1680218565,1046858,1141,,SHIPWRECK
1680218664,972715,1320,,RUINED_PORTAL
1680218778,1086621,1151,,BURIED_TREASURE
1680218815,975985,977,,RUINED_PORTAL
1680218884,1034710,1318,,SHIPWRECK
1680219136,2867389,766,,VILLAGE
1680219234,734343,1153,,VILLAGE
