623463,2193,7.9
647236,2253,7.4
648489,1269,60
650953,2004,73.9
658413,1893,43
659613,1862,89.5
659737,1963,57
663405,1421,33.3
665354,1896,7.4
666160,1994,29.3
670202,1891,8.3
673987,2000,11
677008,1925,13.6
678286,1416,0
685759,1903,9.1
690866,1777,35.5
692771,2090,3.9
694392,1780,47.4
694875,1501,25
695159,2011,2.2
696080,1912,41.5
696779,1902,60.6
697763,1654,23.2
699728,1666,51.9
700109,1372,0
702165,2002,5.3
702935,1233,11.1
705750,1710,44
705954,1814,35.7
706751,1237,80
707478,1782,15.8
709237,1874,20
709505,1529,29
710152,1443,69.2
710827,1700,18.8
712588,1761,48.6
712725,1949,17.6
717000,1641,48.1
717914,1847,25.1
719019,1707,9.5
721950,1546,63.4
726030,1320,80
729553,1907,7.1
730553,1823,23.5
730559,1909,51.3
732374,1372,50
732938,1771,25.5
734841,1759,65.2
736040,1702,34.6
736095,1808,41.3
736606,1647,33.3
742498,1640,40.5
742521,1844,23.5
743573,1686,16.7
743728,1653,19.6
744254,1683,30
744963,1468,100
745296,1478,36.4
747096,1471,0
747499,1460,88.9
748293,1885,7.1
748485,1510,67.6
753768,1651,13.7
754311,1615,21.3
755228,1291,50
755417,1373,50
755964,1422,74.2
757251,1655,55.7
759316,1749,8.9
759461,1669,24.7
759713,1657,33.7
762654,1542,32.4
762740,1304,93.1
765834,1422,40
766911,1853,28.4
767382,1481,70.7
767601,1638,6.8
767705,1623,15.8
768929,1501,2.8
769461,1540,0
769878,1517,50
770851,1691,47.4
771359,1793,26.5
771445,1470,53.7
771770,1587,24.7
771931,1686,52.9
772183,1468,29.6
772652,1790,8.1
772772,1439,33.3
773788,1425,74.9
774190,1535,41.8
774481,1406,18.8
775802,1575,7
776292,1437,46.9
776363,1637,53.4
777253,1427,82.5
777741,1465,40
778012,1559,31.8
778208,1606,58.4
778382,1341,38.9
779691,1539,0
780619,1455,13.7
780893,1678,7
780931,1478,46.2
781871,1276,78.2
782345,1292,33.3
782398,1733,63.2
782722,1480,34.1
782984,963,50
783756,1508,20.7
784059,1377,33.3
784543,1526,21.7
785038,1450,70.1
785306,1656,16.5
786483,1623,74.2
787432,1622,23.5
788419,1503,19.7
789447,1391,71.9
789980,1537,22.2
790099,1322,50
790134,1255,75
790764,1261,45.9
791011,1658,28.6
792153,1226,44.4
793197,1379,55.6
793538,1544,40.7
794149,1412,34.8
794398,1584,25
794673,1457,0
794838,1447,2.6
794860,1524,41.5
795073,1425,27.3
796016,1620,37.5
796692,1717,9.5
797995,1380,100
798394,1309,25
798561,1548,68.3
798710,1781,18
799685,1340,61.3
799763,1358,55.9
799878,1544,13.6
800047,1611,63.5
801074,1510,44.1
802024,1632,38.1
803384,1754,19.2
803930,1342,67.6
804469,1251,44.4
804600,1332,75
804888,1404,50
805800,1188,71.4
807033,1706,12.5
807211,1608,65.9
807310,1399,66.7
807338,1472,35.7
807945,1451,30.5
808071,1458,100
808544,1430,78.3
809523,1439,62.5
809735,1301,50
809944,1648,5.6
810122,1475,45.2
810350,1476,77.8
810457,1491,56.2
810569,1389,28.6
810656,1323,56.7
810949,1469,41.9
811163,891,71.1
811290,1496,11.2
811792,1499,7.2
814268,1554,28.4
815966,906,100
816136,1706,39.4
817846,1480,4.4
818240,1639,33.7
818641,1612,31.7
818695,1294,56
819228,1208,60
819856,1360,27.3
820344,1459,48.8
820473,1402,48.9
820877,1602,36.5
820963,1235,68.2
822261,1380,62.2
822482,1467,50
825710,1565,40
826324,1475,15.9
827023,1407,42.9
827743,1588,29.8
828051,1680,26.7
828298,1412,53.3
828914,1350,50
828979,1380,50
829663,1505,25
830273,1384,89.5
830349,1472,16.4
830571,1586,31.1
832397,1046,90.9
832591,1580,12
832802,1728,8.6
833008,1316,88.9
833170,1432,33.3
833413,1310,33.3
833835,1429,33.3
834685,1248,61
835521,1123,54.5
835610,1531,15
835914,1611,17.6
835976,1375,38.5
836201,1479,44.1
836745,1237,0
836797,1605,59.4
837952,1473,28.8
839047,1304,56
840065,1481,17.9
840137,1423,25
840685,1442,77.6
841364,1520,85
842557,1618,35.5
842890,1364,10
843179,1506,62.8
844218,1361,35.6
844874,1433,20
844960,1729,17.5
845145,1589,5.1
845603,1401,31.8
846232,1404,65.8
846962,1356,67.8
847313,1307,100
848943,1276,79.6
849910,1595,18.5
850239,1111,95.7
851187,1235,68.8
851486,1421,65
851546,1575,28.1
851777,1536,67.2
851904,1409,75
852552,1078,85.7
852980,1619,8.5
853279,1424,58.8
854608,1452,52.4
854760,1177,55.6
855131,1299,8.7
855804,1176,20
855980,1396,27.1
855996,1418,59.4
856357,1616,51.1
856385,1342,42.9
857607,1451,70
859102,1767,21.2
859264,1502,11.1
859479,1350,50
859625,1499,34.6
860942,1451,64.6
861527,1325,74
862029,1594,38.8
862997,1490,70.7
863210,1456,33
863250,1266,77.8
863754,1438,0
863948,1326,71.9
864609,1434,0
864854,1370,37.9
865335,1464,33.3
865461,1314,0
867232,1103,9.1
867268,1372,22.2
867787,1490,35.7
868170,1212,55
868321,1262,33.3
868563,1551,50.3
869018,1449,5.1
869144,1450,23.3
869559,1435,35.3
869710,1286,40
870430,1483,65.2
871308,1400,37.5
871498,1363,29.2
871735,1351,60
871780,1304,57.1
873504,1380,45
874578,1310,66.7
875164,1569,14.7
875815,1440,15.4
876802,1236,7.7
878472,1388,25
878519,1317,79
880507,1253,79.5
881150,1442,22.7
881683,1286,55
882267,1274,60.3
882536,1364,48.9
883953,1448,0
884603,1575,5.5
885529,1425,0
885570,1015,100
887103,1357,70.2
887321,1201,70
888006,1023,77.8
888023,1392,45
888092,1476,61.5
888325,1137,25
888904,1397,59.3
890357,1467,27.3
890653,1202,57.1
890922,1112,75
891126,1257,81.9
892096,1256,55.3
892312,1052,51.5
892394,1250,68.6
892430,1521,65.1
892534,1305,59.1
892622,1385,6.8
892862,1373,21.4
893738,1387,55.7
